,epoch,time,loss,ns_pde_loss,ns_bdr_loss,ts_pde_loss,ts_bdr_loss
0,0,4.89827036857605,193.32942259912303,192.0805206298828,0.6190172433853149,6.0062719242637286e-09,0.6298847198486328
1,1,5.074897050857544,193.32882935383785,192.08041381835938,0.6190088987350464,5.750525833292386e-09,0.6294066309928894
2,2,5.332208871841431,193.3282151236686,192.08026123046875,0.6190065145492554,1.4456940089502268e-09,0.628947377204895
3,3,5.5172929763793945,193.32767796708654,192.08013916015625,0.6190096139907837,1.922372927509741e-09,0.6285291910171509
4,4,5.675868511199951,193.32715392292974,192.0800323486328,0.6190166473388672,1.8024277625983132e-09,0.6281049251556396
5,5,5.826334476470947,193.32667446299797,192.0799560546875,0.6190268993377686,1.6332225571957792e-09,0.6276915073394775
6,6,6.086638450622559,193.32620012902115,192.07986450195312,0.6190394163131714,1.4195205011446888e-09,0.6272962093353271
7,7,6.340958833694458,193.32571798681712,192.07974243164062,0.6190540790557861,1.1870867622221226e-09,0.6269214749336243
8,8,6.541421413421631,193.32523071869576,192.07958984375,0.6190708875656128,1.036766561490765e-09,0.6265699863433838
9,9,6.761383056640625,193.3247705706408,192.07943725585938,0.6190899610519409,8.394724915206098e-10,0.6262433528900146
